Модуль ошибки
Время, с	Ошибка, м
732808990	21.068
732809000	20.3247
732809010	19.6052
732809020	19.0473
732809030	19.0992
732809040	18.4945
732809050	18.1999
732809060	17.8129
732809070	17.705
732809080	16.4844
732809090	17.0128
732809100	16.5338
732809110	16.0035
732809120	15.9551
732809130	15.8326
732809140	14.7715
732809150	14.3486
732809160	13.6752
732809170	13.23
732809180	12.6543
732809190	13.015
732809200	12.5
732809210	12.1329
732809220	11.5185
732809230	11.2899
732809240	10.4029
732809250	10.3226
732809260	9.84779
732809270	9.33468
732809280	9.52757
732809290	9.09509
732809300	8.5259
732809310	8.48051
732809320	7.83116
732809330	7.91441
732809340	7.28572
732809350	6.48122
732809360	6.05161
732809370	5.6606
732809380	4.93003
732809390	5.49316
732809400	5.10904
732809410	4.59272
732809420	4.51408
732809430	4.10369
732809440	3.25771
732809450	3.65832
732809460	3.60656
732809470	2.61901
732809480	2.55037
732809490	1.46402
732809500	1.82393
732809510	2.65437
732809520	2.57054
732809530	2.81947
732809540	2.7224
732809550	2.39322
732809560	2.78809
732809570	4.0721
732809580	4.30093
732809590	4.02192
732809600	4.56019
732809610	4.74515
732809620	5.16625
732809630	6.05381
732809640	5.80072
732809650	6.17983
732809660	7.65965
732809670	8.12649
732809680	8.24687
732809690	8.63414
732809700	8.98825
732809710	8.62954
732809720	8.80503
732809730	9.10111
732809740	9.69327
732809750	9.90662
732809760	10.0743
732809770	10.7447
732809780	12.2744
732809790	12.1125
732809800	11.7787
732809810	12.8535
732809820	13.099
732809830	13.3696
732809840	14.5171
732809850	15.138
732809860	14.8395
732809870	15.2
732809880	15.476
732809890	16.2532
732809900	17.4357
732809910	18.1293
732809920	18.4456
732809930	18.715
732809940	20.4076
732809950	20.3821
732809960	19.4721
732809970	19.6911
732809980	20.5581
732809990	21.3385
732810000	21.536
732810010	22.4888
732810020	22.3141
732810030	22.3653
732810040	23.4332
732810050	23.795
732810060	24.4594
732810070	23.899
732810080	24.5177
732810090	25.0043
732810100	26.2493
732810110	26.3126
732810120	26.6393
732810130	27.7369
732810140	26.774
732810150	26.8743
732810160	26.9366
732810170	26.9948
732810180	28.3095
732810190	28.559
732810200	28.9374
732810210	29.2261
732810220	30.0827
732810230	26.6894
732810240	26.9517
732810250	27.0905
732810260	27.6522
732810270	28.1352
732810280	28.2068
732810290	28.2595
732810300	28.4896
732810310	28.4949
732810320	28.634
732810330	28.9552
732810340	29.4705
732810350	29.6189
732810360	29.884
732810370	30.1386
732810380	30.497
732810390	30.5399
732810400	30.7256
732810410	30.8912
732810420	31.4962
732810430	31.4728
732810440	31.9524
732810450	32.1544
732810460	32.6027
732810470	32.4674
732810480	33.0275
732810490	32.838
732810500	32.7383
732810510	33.0051
732810520	33.383
732810530	33.8539
732810540	33.7921
732810550	34.0417
732810560	34.2691
732810570	34.1122
732810580	34.7292
732810590	34.5968
732810600	34.9924
732810610	35.08
732810620	34.8233
732810630	35.0225
732810640	35.3013
732810650	35.4818
732810660	35.8636
732810670	36.445
732810680	36.1501
732810690	36.5036
732810700	36.3625
732810710	36.7105
732810720	36.7713
732810730	37.4604
732810740	36.8918
732810750	37.5025
732810760	38.2245
732810770	38.216
732810780	38.4186
732810790	39.0107
732810800	39.7459
732810810	40.6477
732810820	41.6188
732810830	41.6514
732810840	42.2252
732810850	41.7883
732810860	41.7672
732810870	40.746
732810880	39.7425
732810890	39.7705
732810900	40.4323
732810910	35.7907
732810920	35.886
732810930	35.7654
732810940	36.2629
732810950	36.2506
732810960	35.9872
732810970	35.5557
732810980	35.2115
732810990	36.8821
732811000	36.4508
732811010	36.8615
732811020	37.6129
732811030	37.9505
732811040	38.0439
732811050	38.5556
732811060	38.6136
732811070	38.1886
732811080	37.9792
732811090	38.1737
732811100	38.5658
732811110	38.387
732811120	38.7876
732811130	40.3592
732811140	41.1601
732811150	41.7521
732811160	42.8426
732811170	45.5416
732811180	50.1064
732811190	33.8276
732811200	118.062
732811210	118.317
732811220	149.244
732811230	153.977
732811240	161.286
732811250	139.23
732811260	33.3457
732811270	33.2413
732811280	32.8731
732811290	33.6983
732811300	32.9499
732811310	33.3079
732811320	33.4999
732811330	33.6643
732811340	33.5177
732811350	33.3318
732811360	34.3252
732811370	33.1814
732811380	32.6706
732811390	32.9241
732811400	32.9148
732811410	31.5663
732811420	31.2883
732811430	31.1728
732811440	30.7815
732811450	31.1042
732811460	30.3928
732811470	29.6466
732811480	29.5114
732811490	30.0339
732811500	30.3451
732811510	28.6947
732811520	28.7826
732811530	123.126
732811540	121.476
732811550	120.036
732811560	118.238
732811570	115.547
732811580	113.482
732811590	62.2657
732811600	61.5907
732811610	59.8906
732811620	26.1318
732811630	25.6474
732811640	25.5663
732811650	25.7358
732811660	24.2503
732811670	24.1645
732811680	24.3581
732811690	24.7401
732811700	23.5977
732811710	23.3634
732811720	22.9805
732811730	22.7481
732811740	22.2396
732811750	22.1094
732811760	21.7065
732811770	21.2482
732811780	21.7764
732811790	20.6033
732811800	19.9866
732811810	19.8609
732811820	19.4371
732811830	19.2868
732811840	18.8068
732811850	18.5011
732811860	18.1945
732811870	17.7829
732811880	17.273
732811890	17.044
732811900	16.6751
732811910	16.1374
732811920	16.4009
732811930	15.8468
732811940	15.5678
732811950	14.9729
732811960	14.7936
732811970	14.1651
732811980	14.104
732811990	13.9175
732812000	13.2775
732812010	13.0949
732812020	12.4196
732812030	12.1872
732812040	11.6
732812050	11.4407
732812060	11.2048
732812070	10.5505
732812080	10.3309
732812090	9.91169
732812100	9.85723
732812110	9.04811
732812120	8.62613
732812130	8.47663
732812140	8.05921
732812150	8.53974
732812160	7.34657
732812170	6.56951
732812180	6.6179
732812190	6.48995
732812200	5.29725
732812210	5.03124
732812220	4.90275
732812230	4.09787
732812240	4.09542
732812250	3.99082
732812260	3.60541
732812270	2.87339
732812280	3.27195
732812290	2.39772
732812300	2.54525
732812310	3.23047
732812320	2.33326
732812330	2.68921
732812340	2.11042
732812350	4.01446
732812360	4.22884
732812370	4.06121
732812380	3.02897
732812390	3.74909
732812400	3.71484
732812410	4.26543
732812420	4.39711
732812430	4.85362
732812440	5.65085
732812450	7.62148
732812460	7.46709
732812470	10.2581
732812480	10.5213
732812490	11.1798
732812500	11.4594
732812510	13.1942
732812520	12.8009
732812530	12.7964
732812540	13.668
732812550	11.7994
732812560	11.0853
732812570	14.0208
732812580	14.9266
732812590	15.2353
732812600	15.2661
732812610	16.7218
732812620	15.8781
732812630	15.5237
732812640	11.1264
732812650	11.3576
732812660	11.7035
732812670	12.4115
732812680	12.9616
732812690	13.2705
732812700	13.5354
732812710	13.8282
732812720	14.3371
732812730	14.2376
732812740	14.4602
732812750	14.8428
732812760	15.6548
732812770	15.4808
732812780	15.9583
732812790	16.4377
732812800	16.4107
732812810	17.1473
732812820	15.167
732812830	15.8963
732812840	16.7813
732812850	16.6173
732812860	16.6625
732812870	18.0663
732812880	18.3778
732812890	18.8549
732812900	19.0653
732812910	19.0671
732812920	19.6254
732812930	19.7047
732812940	20.1901
732812950	20.5317
732812960	21.4395
732812970	22.2784
732812980	22.2934
732812990	22.6668
732813000	23.2576
732813010	23.2017
732813020	23.6569
732813030	23.8397
732813040	24.0001
732813050	24.3301
732813060	24.6489
732813070	24.9643
732813080	25.0681
732813090	25.5444
732813100	25.8415
732813110	26.0316
732813120	26.2158
732813130	26.3938
732813140	26.7733
732813150	27.0316
732813160	27.2953
732813170	27.536
732813180	27.9132
732813190	28.1527
732813200	28.7373
732813210	28.5087
732813220	28.778
732813230	29.0458
732813240	29.0645
732813250	29.4199
732813260	29.6501
732813270	30.367
732813280	30.7274
732813290	30.7613
732813300	30.4876
